# {"t_start": 1542744308.149929, "env_id": "HopperAdv-v1"} 
r,l,t
196.061773,92,379.911893
195.287536,89,380.560149
203.147099,91,381.24567
179.860652,85,381.825827
200.759756,88,382.409626
211.745272,94,382.994544
201.284349,90,383.590385
180.466481,81,384.11716
208.841884,92,384.744469
201.094791,94,385.444776
220.955823,96,413.819909
187.808832,84,414.391866
208.386227,92,415.006892
183.884815,88,415.599698
193.444135,88,416.189124
218.391567,98,416.905865
204.053001,91,417.520335
145.837812,73,418.075931
193.68929,87,418.733686
216.428127,92,419.349985
196.88901,89,419.988878
200.210122,90,420.612869
210.726382,93,421.216383
216.260778,94,421.900396
211.767898,94,422.539277
212.482056,96,423.192773
195.388253,90,423.805019
196.158295,87,424.438114
257.102574,106,425.165517
188.643424,91,425.769055
192.392094,86,426.321369
227.861201,105,426.970169
205.472923,92,453.147388
211.296728,93,453.726169
194.606825,87,454.344698
195.138112,89,454.951008
201.344916,91,455.589156
206.156302,90,456.231741
214.193285,94,456.867744
195.220192,89,457.441324
208.259158,96,458.047177
200.276162,89,458.631304
194.585708,107,459.332287
187.732727,86,459.871485
190.609656,90,460.43403
211.228419,93,461.077849
197.518929,89,461.690305
191.763095,86,462.274133
202.913071,92,462.934842
190.981281,93,463.537875
225.307963,99,464.260762
205.564931,91,464.957025
192.974492,96,465.649194
220.830346,97,466.285309
199.37676,90,494.496216
180.677049,84,495.09639
190.227218,85,495.654832
130.062621,70,496.1035
214.868167,96,496.75889
215.227507,95,497.380265
218.69881,96,498.039448
243.356239,112,498.769765
206.474742,94,499.446511
231.283401,101,500.174707
206.308607,90,500.832719
193.100657,90,501.464386
210.39279,93,502.130008
229.873347,99,502.833736
246.888658,101,503.542125
229.979252,101,504.320629
194.249009,91,504.947763
219.283769,98,505.660065
190.705918,86,506.281323
208.822651,97,506.913905
200.731709,88,507.538631
214.504437,95,508.125906
225.628118,98,534.490088
254.309374,105,535.212414
198.699087,88,535.837871
266.255765,112,536.683074
231.256739,102,537.440019
208.260528,93,538.100875
234.128511,110,538.832926
230.199447,102,539.53432
235.35322,99,540.157331
45.622134,27,540.332793
80.898737,47,540.66236
217.838371,98,541.359184
274.221177,112,542.104425
209.473309,93,542.711492
217.121604,97,543.334064
235.287823,102,544.001154
189.8902,90,544.644485
211.342923,99,545.320101
201.090288,92,546.015445
245.405343,111,546.800102
227.270875,97,547.425694
223.788194,106,548.115119
276.721482,111,579.164479
197.434814,91,579.750323
212.218224,96,580.463517
225.104141,98,581.178779
211.80903,92,581.818397
258.942195,107,582.57218
221.556582,98,583.203249
215.92448,98,583.895848
200.841705,92,584.522201
232.279465,100,585.155497
231.687479,106,585.941737
254.750822,108,586.713873
230.718924,105,587.413413
202.501811,91,588.009394
199.053824,91,588.621756
348.068384,137,589.494697
259.019899,117,590.249591
220.837583,97,590.887826
291.685305,118,591.602459
223.332806,98,592.257352
202.825349,93,623.59092
212.794518,97,624.192446
246.62884,106,624.981483
229.337633,102,625.759838
222.72866,97,626.427543
226.136845,100,627.146953
280.869425,118,627.878506
294.479404,115,628.683211
302.744228,116,629.450551
245.116088,103,630.121827
210.952345,93,630.744606
211.280752,97,631.388713
229.67909,100,632.067971
249.607538,106,632.791702
300.492453,139,633.760355
263.246168,118,634.562633
247.49081,109,635.309727
220.212046,99,635.996471
252.14237,101,636.739904
233.053628,107,672.193251
308.998226,123,673.067718
194.939505,88,673.670385
267.013738,115,674.422319
212.647102,96,675.112202
267.854371,109,675.843726
237.778746,99,676.501385
281.631462,114,677.319188
255.219206,108,678.037306
285.73079,111,678.837073
248.128135,105,679.56398
231.5884,100,680.252931
352.68508,138,681.150926
204.176644,94,681.790492
295.081506,115,682.573775
313.284868,119,683.41149
219.715898,96,684.111442
213.780694,95,684.799301
226.536847,101,685.519721
316.070057,121,719.614975
265.08695,111,720.437197
295.094639,114,721.19271
264.315581,113,721.954828
291.151345,112,722.721563
249.755239,105,723.477589
307.243819,117,724.223648
307.524144,119,725.043077
245.270433,107,725.813625
248.936278,108,726.593646
348.18304,127,727.408124
239.035982,100,728.052405
346.333578,133,728.976484
270.819482,112,729.76752
305.320993,120,730.643976
260.085463,109,731.403449
304.355203,119,732.170019
316.629872,122,732.929421
293.610601,120,770.496636
365.205737,130,771.380035
314.096506,120,772.307369
247.964614,105,773.032598
334.945589,120,773.852651
232.0178,98,774.53646
356.90034,130,775.405355
311.10384,120,776.226014
271.459829,108,776.967685
304.475792,119,777.721731
307.464137,118,778.495094
317.386395,126,779.301644
313.793448,120,780.038988
277.206923,115,780.785897
345.985716,131,781.63177
330.999005,126,782.464524
260.185008,110,783.247232
274.824559,112,818.026536
315.840803,124,818.83197
344.429599,137,819.758444
266.172417,112,820.482763
338.184734,125,821.308798
321.823004,129,822.132537
383.165202,141,823.037051
309.409811,124,823.880146
308.425963,123,824.768674
311.181517,120,825.554425
302.755593,119,826.389364
329.195563,126,827.248702
260.696274,113,828.046498
335.68989,125,828.911463
309.959511,123,829.667722
308.475306,122,830.421837
358.106353,135,831.228757
329.217045,136,868.647968
305.262139,129,869.581145
314.11031,121,870.397236
321.230034,123,871.228463
271.964414,114,871.970318
348.535679,130,872.807001
291.720757,116,873.593383
314.093469,124,874.402959
317.448993,124,875.281837
291.771707,125,876.087286
314.488961,122,876.879885
333.742634,128,877.763824
290.63183,115,878.606963
272.782605,109,879.343892
287.903918,125,880.185186
317.314582,123,881.015612
333.625713,125,915.225819
344.696143,129,916.064318
324.481556,126,916.904833
305.803558,127,917.78343
349.524114,129,918.690272
311.316076,121,919.62829
308.35339,120,920.405764
316.367424,121,921.226334
310.823791,124,922.154227
312.146516,120,923.02626
376.218693,141,923.949254
318.515482,122,924.81261
325.804305,133,925.621883
318.340543,128,926.417559
274.233219,116,927.139827
346.171526,131,928.006262
280.570044,112,928.724897
360.055087,132,966.259787
261.57366,107,966.959015
295.541388,122,967.759371
327.258983,124,968.562338
303.767022,120,969.311941
330.094598,130,970.143564
336.137443,125,970.904545
287.773759,115,971.636169
350.218181,134,972.486102
308.222237,121,973.252425
351.88558,127,974.037264
338.648639,129,974.868799
355.604988,135,975.712294
336.656238,130,976.46074
331.71242,133,977.339005
360.775864,132,978.238899
306.287395,122,1012.411893
345.800038,132,1013.289255
354.928584,131,1014.156592
361.068789,137,1015.080772
358.918232,135,1015.995637
319.775067,135,1016.90535
340.314755,125,1017.733345
380.516579,135,1018.653753
331.226649,126,1019.467133
318.052418,121,1020.25667
330.150602,138,1021.169245
329.327082,127,1022.008495
346.891679,131,1022.873376
343.616105,133,1023.740983
341.713976,127,1024.641629
347.048661,137,1025.626481
230.087683,107,1063.761521
335.901441,124,1064.578446
315.601319,117,1065.372547
287.098343,113,1066.125191
375.593583,134,1066.995373
318.668541,125,1067.861209
292.09734,120,1068.700194
347.991238,131,1069.587317
352.067318,132,1070.480574
369.244358,135,1071.465432
336.674942,126,1072.349353
342.611303,131,1073.230644
330.577828,126,1074.108159
330.527825,128,1074.982087
356.299702,129,1075.846935
309.500857,119,1076.642948
328.1706,126,1112.945876
336.355487,136,1113.913268
317.391224,133,1114.832338
341.890682,127,1115.678775
364.779253,135,1116.62309
357.691538,134,1117.560374
366.729505,132,1118.458013
351.677307,133,1119.391018
332.67513,124,1120.225152
357.214724,133,1121.122781
336.840142,129,1122.13677
63.580938,37,1122.411922
360.690029,135,1123.306944
323.979925,132,1124.139217
308.640875,122,1124.91504
338.963009,131,1125.78388
334.458645,132,1165.481789
331.289392,127,1166.368852
357.485884,134,1167.251682
366.909608,132,1168.097734
363.975693,138,1169.021093
361.278157,132,1169.864422
363.814342,132,1170.74408
349.860496,128,1171.614646
357.548062,132,1172.562086
351.620179,139,1173.534453
377.242034,134,1174.510262
369.866781,138,1175.473978
334.343104,126,1176.309529
359.734427,134,1177.28499
349.639764,139,1178.221819
328.419378,126,1179.061757
359.025891,137,1215.667848
355.771395,129,1216.533811
353.5859,134,1217.444232
359.976442,131,1218.328049
352.42866,129,1219.176416
366.561085,133,1220.124547
360.364499,133,1221.168006
318.437183,123,1222.129545
370.58205,134,1223.053939
332.131418,128,1223.909945
369.78472,146,1224.865705
334.978311,129,1225.679777
362.08359,133,1226.57426
371.765074,133,1227.417835
337.459597,125,1228.224732
339.148178,132,1266.058109
358.171681,140,1266.956458
358.550736,135,1267.818293
374.061548,139,1268.727271
358.595267,133,1269.589914
359.16919,142,1270.479075
348.979217,136,1271.440174
338.167435,131,1272.350873
349.009163,126,1273.231786
322.769629,128,1274.117962
358.622849,139,1275.112779
339.020023,135,1276.036748
347.347119,134,1276.996101
369.453245,132,1277.983875
334.921294,124,1278.890493
328.561086,129,1279.820479
377.092114,137,1315.690613
342.895412,134,1316.559591
329.38784,131,1317.431479
358.350005,132,1318.299448
363.955911,133,1319.237274
393.835748,143,1320.178858
347.922727,140,1321.211621
374.672286,136,1322.192108
365.24089,132,1323.132643
334.951183,131,1324.00197
363.273483,141,1324.964757
362.218425,132,1325.798551
377.911916,134,1326.711632
385.001538,136,1327.610059
368.114819,136,1328.505901
363.731145,138,1369.711211
378.276792,138,1370.713549
348.985634,129,1371.554999
368.854939,136,1372.512445
352.958303,139,1373.452407
375.656742,138,1374.403744
373.133958,136,1375.351506
306.410389,124,1376.205036
356.026288,138,1377.078358
401.692721,141,1378.038854
346.642988,139,1378.966043
360.005072,137,1379.925853
348.742949,137,1380.869233
386.54259,136,1381.79758
338.212319,133,1382.681095
368.254695,132,1419.310613
312.494402,133,1420.226414
365.424779,137,1421.154036
585.796163,204,1422.523971
380.914785,143,1423.485911
361.680052,132,1424.36122
368.715251,135,1425.28842
321.678129,126,1426.147785
369.813436,144,1427.083462
369.716691,146,1428.039993
347.297144,131,1428.888852
350.775184,130,1429.772525
322.452648,132,1430.647461
365.485201,130,1431.748534
344.339883,138,1432.675706
342.214289,131,1472.633481
533.562127,189,1473.928837
373.857222,137,1474.806553
344.333757,133,1475.613581
370.685655,137,1476.527404
371.21751,139,1477.513427
376.715302,137,1478.393524
367.254793,140,1479.327935
355.420519,133,1480.186797
352.633287,134,1480.995684
375.500495,137,1481.860585
345.513504,139,1482.69351
332.196182,125,1483.474734
398.131975,143,1484.437382
390.240772,142,1520.829004
569.057442,193,1522.077978
334.975158,132,1522.984938
389.488339,142,1524.025532
344.674297,131,1524.895898
352.083755,136,1525.803734
354.407266,135,1526.765516
346.636567,129,1527.621894
351.227696,135,1528.661224
367.451457,140,1529.588449
336.175947,132,1530.474074
353.088252,132,1531.27281
348.278877,136,1532.150704
359.217729,135,1533.114889
361.596717,139,1533.998241
371.069034,135,1572.436925
381.014257,139,1573.361862
387.758021,139,1574.301316
348.498722,137,1575.272505
375.173622,142,1576.235844
360.565183,138,1577.076474
373.302194,137,1577.921866
360.869488,139,1578.836411
380.076593,137,1579.785337
374.482338,142,1580.708603
372.157891,138,1581.585991
374.324153,137,1582.469256
540.286623,185,1583.691253
365.146499,139,1584.578732
388.235849,143,1620.214675
364.20946,133,1621.086282
368.581387,142,1622.014592
367.836635,142,1622.968549
358.485313,139,1623.871844
346.976227,136,1624.810182
353.517413,135,1625.717835
392.825688,139,1626.767904
386.681201,139,1627.711504
386.320919,146,1628.698806
352.344818,132,1629.610425
363.446548,140,1630.564961
373.947303,145,1631.519595
337.453917,130,1632.368014
368.500721,142,1633.29331
365.329725,141,1671.669472
361.650162,139,1672.611996
372.688424,141,1673.513802
388.468206,144,1674.479478
388.931848,145,1675.402259
358.323084,137,1676.267931
397.340077,145,1677.236712
352.816092,136,1678.117151
364.521679,136,1679.048093
362.590064,131,1679.918529
334.190562,127,1680.810976
409.267014,150,1681.734907
378.313361,137,1682.616984
341.878028,133,1683.496974
357.611816,143,1684.423984
355.395105,139,1721.542836
430.07296,156,1722.655845
359.296391,140,1723.637848
366.100824,139,1724.570359
367.915052,135,1725.503069
376.92121,143,1726.458289
373.447627,141,1727.403937
364.427284,131,1728.272868
379.526488,137,1729.179275
362.758287,136,1730.089902
355.786674,136,1731.012995
334.225242,130,1731.870323
384.479278,140,1732.722573
382.257253,148,1733.679777
381.586991,141,1734.661345
378.68515,142,1773.517367
343.010173,131,1774.375662
371.946907,144,1775.323787
357.460254,137,1776.16392
377.387688,142,1777.066633
330.657442,130,1777.830364
380.660903,141,1778.736257
364.401553,141,1779.71044
359.560712,137,1780.607974
364.553274,140,1781.473437
457.602891,155,1782.549584
359.408976,133,1783.460365
585.13822,199,1784.708741
359.128779,138,1785.556859
359.784899,131,1824.625654
374.42041,143,1825.572295
370.753203,135,1826.461338
372.90046,140,1827.369207
296.986982,119,1828.156528
596.865152,203,1829.472006
386.257109,143,1830.424004
390.55195,146,1831.336141
587.450225,198,1832.611176
606.716663,205,1833.940061
421.488359,150,1834.988986
368.068204,140,1835.951041
603.193684,206,1837.301451
365.913462,137,1880.341118
352.160984,135,1881.168185
364.23807,139,1882.073037
556.945861,185,1883.369082
346.034035,132,1884.279583
380.858177,141,1885.248855
354.579395,136,1886.174697
380.380132,146,1887.169729
367.341836,141,1888.214673
420.758672,154,1889.237391
338.872519,131,1890.101064
578.698704,202,1891.459512
373.994449,135,1892.416222
378.357244,138,1893.320093
549.177649,188,1932.840782
428.356437,157,1933.87035
600.828994,205,1935.311568
354.567783,135,1936.283526
428.230569,152,1937.272629
427.835125,157,1938.339136
345.746219,132,1939.248278
358.242195,138,1940.149415
438.193681,150,1941.211128
376.88146,143,1942.145938
622.970402,204,1943.421726
606.641219,209,1944.775032
590.339345,201,1987.244874
395.362421,141,1988.213048
619.086403,209,1989.628775
353.867455,137,1990.518043
424.766091,154,1991.5132
625.254173,204,1992.837461
374.740684,144,1993.74794
356.246686,136,1994.711517
368.324979,140,1995.625897
393.342189,147,1996.579765
369.503616,139,1997.56389
365.869548,138,1998.576118
527.859814,177,1999.640469
634.120932,206,2040.229653
600.688579,200,2041.495785
471.647432,160,2042.5786
369.753256,141,2043.470864
357.566134,136,2044.414933
353.447664,138,2045.31214
609.868711,202,2046.640963
621.078422,204,2047.983964
596.326299,201,2049.343548
326.034317,125,2050.200611
622.694048,209,2051.500199
612.928729,206,2052.779268
554.212639,181,2097.111496
613.045095,204,2098.449233
322.631882,125,2099.247751
597.23633,199,2100.42215
618.083434,201,2101.800123
626.621681,207,2103.159418
586.084257,198,2104.483156
404.234059,143,2105.442032
601.062989,200,2106.780638
368.290988,140,2107.73174
631.024248,208,2109.066063
633.952593,213,2149.593875
398.492575,142,2150.57922
591.393021,205,2151.978284
600.738745,203,2153.304618
628.096726,208,2154.721519
498.433329,163,2155.91519
622.441915,196,2157.263632
330.588223,127,2158.117042
614.326951,201,2159.481711
362.594733,139,2160.439693
336.034075,131,2161.382529
608.106943,205,2205.938116
356.39274,136,2206.883975
320.132834,125,2207.669997
562.829739,188,2208.841631
587.70566,196,2209.998333
623.05319,209,2211.369692
350.970489,135,2212.183838
528.372733,180,2213.408893
409.072248,151,2214.359943
612.818997,206,2215.746396
583.961775,197,2216.949876
459.721607,160,2217.945316
402.419846,147,2218.900971
328.019606,126,2259.14578
621.522557,210,2260.486627
532.254663,180,2261.728852
346.751084,133,2262.637568
732.963833,238,2264.304955
362.029632,137,2265.210221
599.328213,188,2266.577332
642.327603,209,2267.987505
559.350856,187,2269.289037
434.735059,155,2270.285114
390.57699,144,2271.189161
359.283126,137,2272.008879
457.161427,157,2321.706543
611.802534,205,2323.147379
588.301612,199,2324.484221
598.162442,197,2325.778548
619.677736,196,2327.028567
355.66786,134,2327.866523
618.698706,210,2329.231015
349.156756,134,2330.075773
559.617906,183,2331.206797
386.641868,137,2332.086221
597.229598,200,2333.44102
619.382558,205,2382.239069
565.009403,188,2383.57195
551.200453,189,2384.854646
603.758004,187,2386.117005
368.030429,140,2387.088897
556.164938,186,2388.364434
523.686504,178,2389.576913
624.674946,202,2390.914838
579.389688,195,2392.416844
597.685461,200,2393.775883
599.73811,203,2395.233283
358.65075,139,2455.376148
611.861342,196,2456.830464
