# {"t_start": 1542744412.5104127, "env_id": "HopperAdv-v1"} 
r,l,t
226.999949,106,187.801264
197.532359,93,188.129593
199.51668,90,188.486645
216.369653,96,193.444477
212.856607,94,193.843701
217.233168,102,194.202246
215.458318,98,194.558326
210.574946,93,194.943293
199.095501,89,195.275084
209.895472,93,195.645894
203.712527,89,195.992437
230.118232,98,196.379057
188.937654,86,196.696038
209.439225,93,197.057756
215.006272,94,197.384568
221.440888,98,197.751788
198.412516,91,198.099601
219.618711,98,198.452229
212.785448,94,198.792728
212.013649,94,199.141459
195.35386,87,199.464002
204.40134,92,199.816351
203.566927,90,200.140622
223.943471,97,200.510346
212.874705,94,200.857593
215.106438,95,205.82341
68.045735,41,206.012108
209.506362,92,206.415633
96.456102,54,206.651878
249.704147,105,207.088239
209.266233,94,207.461457
209.391193,92,207.778526
211.95095,93,208.162092
221.878554,95,208.531892
226.840026,101,208.933541
216.722148,97,209.302835
92.681645,53,209.525548
201.242605,90,209.868115
193.347856,86,210.200248
209.06381,93,210.56014
197.386831,88,210.84799
212.668445,94,211.191451
202.612459,92,211.53115
211.01103,93,211.841578
189.526015,86,212.170084
225.042512,97,212.556256
211.68656,95,212.902338
210.760935,93,213.265781
211.707902,92,218.515016
229.072274,106,218.938917
205.593661,90,219.253896
210.443613,93,219.609244
249.914413,107,220.008556
207.583714,93,220.34315
211.332349,96,220.715809
217.092308,95,221.080585
198.492121,88,221.416259
187.151951,86,221.755579
199.180468,89,222.103572
239.956188,105,222.496645
225.804504,98,222.874424
227.316353,100,223.242643
215.439084,97,223.643414
239.105626,115,224.076122
214.98617,96,224.448023
198.87956,88,224.788404
209.802183,94,225.138927
189.006686,88,225.458673
250.476039,106,225.830458
221.329881,96,230.460934
214.091587,94,230.808439
214.379845,94,231.157542
204.780136,91,231.474469
222.276289,95,231.835453
228.620335,103,232.24801
201.907395,91,232.581361
218.511164,96,232.950426
222.941912,98,233.348587
218.85832,97,233.733959
209.978196,92,234.069193
227.23791,101,234.472055
244.699322,109,234.873417
248.423501,106,235.29558
223.487633,101,235.704103
226.766787,98,236.052726
238.025792,103,236.448068
207.753524,95,236.799273
222.168961,98,237.131826
236.704264,102,237.511829
199.157496,92,237.89023
235.613451,102,242.930535
239.475548,104,243.313094
221.898916,99,243.695403
234.626104,104,244.100953
228.380758,100,244.521559
224.022919,97,244.931666
268.915698,111,245.382026
227.341045,98,245.751683
221.856028,97,246.120517
225.891327,98,246.493479
209.066732,92,246.86144
214.432972,96,247.225627
251.63933,115,247.651709
256.836321,109,248.111354
210.549686,95,248.514255
170.944867,80,248.825119
209.461454,93,249.168952
212.948691,94,249.582572
191.035379,86,250.009315
265.016728,112,250.473569
261.819907,110,250.907397
213.147169,98,255.693349
142.814137,72,255.940227
226.517756,99,256.276366
272.003464,114,256.64896
199.351069,92,256.983943
235.449789,103,257.330872
246.814272,116,257.753489
232.48624,103,258.128846
294.367911,122,258.560092
247.06327,107,258.974997
256.977371,113,259.385016
270.221686,120,259.793509
204.292575,93,260.112725
265.031042,110,260.533303
237.048624,104,260.937214
259.799414,112,261.352561
270.396283,110,261.749573
271.283412,109,262.187833
250.033322,111,262.577169
211.068899,96,269.57601
241.67698,104,269.988907
299.286071,124,270.450346
260.214529,109,270.880404
272.027384,117,271.327129
294.341382,118,271.73722
258.596663,110,272.134096
240.723805,103,272.53036
231.30047,100,272.925757
279.744148,114,273.404745
229.689289,103,273.77968
277.575412,118,274.243941
223.127859,96,274.605633
210.662106,99,274.967052
272.079043,116,275.433209
259.924623,110,275.880047
206.311258,92,276.231817
222.604424,97,276.614864
257.293432,111,277.050348
244.676445,101,282.127563
297.109939,122,282.556155
284.775396,119,283.060627
232.231635,101,283.442882
229.162076,102,283.878268
278.518064,113,284.3798
245.959828,106,284.781765
231.94206,103,285.198714
277.5495,117,285.636168
244.737712,104,286.014952
223.668996,99,286.357336
289.392693,120,286.824079
265.669573,112,287.304801
304.980934,119,287.724108
287.699632,118,288.166932
278.953041,114,288.637163
265.124709,112,289.10251
245.151744,105,289.547106
223.697683,101,289.939634
296.695342,127,295.787995
287.024915,121,296.27067
311.754764,119,296.76718
327.888228,133,297.309837
327.829025,133,297.821167
299.036159,116,298.254943
319.656144,124,298.767447
321.837264,127,299.266018
253.708897,108,299.71748
315.029256,126,300.185268
278.439252,109,300.621315
177.334252,83,300.959444
212.126112,95,301.33371
268.041095,108,301.755426
301.800636,122,302.220951
308.851486,130,302.682165
256.547243,105,303.106176
256.144679,106,303.542355
297.836341,119,308.489184
282.784497,121,308.959589
294.707643,114,309.40477
267.826377,112,309.83693
340.416022,145,310.413686
233.118394,97,310.78461
308.594089,120,311.251936
274.208233,120,311.728437
302.784428,121,312.163156
272.932029,112,312.587651
282.060042,113,313.067133
333.958027,128,313.597665
296.983279,119,314.037579
311.262499,133,314.537292
347.849299,128,314.99658
330.34742,133,315.567909
331.269281,133,321.606339
301.800529,126,322.110264
286.04816,125,322.540892
325.187555,128,323.012475
321.192527,130,323.508054
341.275258,130,324.006576
348.418906,143,324.567289
275.906427,110,324.98084
301.242175,118,325.450057
279.643945,117,325.93623
308.247408,120,326.394848
289.768188,115,326.86544
272.203663,127,327.338725
351.290502,141,327.941032
277.164303,115,328.405234
267.58304,118,328.905146
287.537152,117,329.391001
342.368892,138,334.52833
320.144997,131,335.049456
329.497512,130,335.555903
64.553996,38,335.700042
271.503312,126,336.210906
347.942276,132,336.735248
343.28931,132,337.246592
361.387648,136,337.777763
388.961224,148,338.346799
280.004907,118,338.809801
338.524666,132,339.279099
328.839523,127,339.75177
334.604364,136,340.271924
323.933753,123,340.743745
308.306467,124,341.234577
360.980777,139,341.767953
329.553552,124,347.595126
283.195823,120,348.110339
339.738731,133,348.625104
346.416879,135,349.202751
338.630966,134,349.801727
321.19158,127,350.325206
342.884477,128,350.816334
389.562246,143,351.35672
298.842111,126,351.827438
322.30515,134,352.359027
352.547643,136,352.876804
347.643397,143,353.445508
380.315044,147,354.015454
354.123425,138,354.566359
275.935807,122,355.059086
353.697445,137,355.554715
386.429923,150,360.940784
228.625903,100,361.348482
326.038328,125,361.799465
331.343747,123,362.260368
388.234842,145,362.815561
316.372433,127,363.293077
367.086621,140,363.849608
328.827285,139,364.44226
364.713478,136,364.987308
351.428618,135,365.492069
354.677493,146,366.034953
352.828911,134,366.555014
453.050092,159,367.178401
225.004332,98,367.589903
341.678875,136,368.154891
456.996586,164,374.124364
422.011577,149,374.707578
370.434773,149,375.299229
258.630102,104,375.704966
337.320985,133,376.186138
327.024773,133,376.754739
331.2193,127,377.267625
344.906726,131,377.791076
380.841764,144,378.370989
318.27046,122,378.882399
323.410545,125,379.403521
310.541738,138,379.897681
393.194859,149,380.452195
367.279757,142,380.99364
381.084247,139,381.523619
378.330803,143,386.87932
327.691031,129,387.363405
412.680738,149,387.954829
356.184106,133,388.429631
370.785941,136,388.924644
413.646809,151,389.46509
345.125412,126,389.946268
377.763732,139,390.493875
346.93777,133,390.959335
385.925025,143,391.523639
338.981304,131,391.989404
359.593361,131,392.470989
327.169938,128,392.960239
362.21112,141,393.503861
413.660964,146,394.096272
382.547608,143,402.920711
396.013197,144,403.482981
363.048584,143,404.056746
306.645231,121,404.516966
342.476602,128,405.03438
376.408734,145,405.580233
329.584171,129,406.046472
428.139917,162,406.7088
392.039213,144,407.310071
392.012413,145,407.866043
394.359195,141,408.417952
422.872607,156,409.049825
330.434668,126,409.562268
337.488164,130,410.10611
324.167906,127,410.647829
395.369041,145,416.384107
407.850339,147,417.001009
520.130182,180,417.678855
391.179081,145,418.250364
359.799316,131,418.753012
323.860274,120,419.209185
402.246929,146,419.70376
363.954077,148,420.250231
379.826631,139,420.745919
421.85138,159,421.334987
420.304835,158,421.904546
335.714406,135,422.393749
387.212068,147,422.927447
369.98011,142,423.465405
405.51694,150,429.5815
384.186016,136,430.101813
387.885175,141,430.676678
371.586955,135,431.188888
530.347147,191,431.901918
364.832442,134,432.384994
406.655884,146,432.921384
409.371761,141,433.502591
402.740423,150,434.082166
424.456906,155,434.723732
390.131589,150,435.264999
401.162059,147,435.85266
404.168538,148,436.385723
399.636212,146,436.89661
448.088922,161,442.567153
451.541717,162,443.198436
419.852299,161,443.88577
425.693032,156,444.506348
389.202649,147,445.087788
380.954532,144,445.666091
370.189564,149,446.286248
369.661403,137,446.844018
421.386742,148,447.38807
380.205022,145,447.970366
495.311088,177,448.648731
357.474248,146,449.178433
399.076227,147,449.760869
510.318804,177,455.849147
420.807934,151,456.401844
422.58973,149,456.963706
402.821711,146,457.490916
384.235338,145,458.040684
367.996837,138,458.556814
453.766602,165,459.145647
404.082878,143,459.6759
350.90072,129,460.142855
412.072898,145,460.684776
373.855657,135,461.195812
400.521064,148,461.74584
386.94589,149,462.285195
436.674309,154,462.881319
513.731378,183,468.495438
404.049854,149,469.012825
396.591893,142,469.543306
432.870033,166,470.140171
387.124717,138,470.679953
409.096831,157,471.290766
461.722766,157,471.906248
409.295421,151,472.480189
420.799434,154,473.037095
605.384975,203,473.860241
415.090705,150,474.441591
376.096988,139,474.961205
453.412582,156,475.590071
452.077483,155,481.780555
534.083993,187,482.49877
432.563628,156,483.088434
518.174169,183,483.753917
559.02541,196,484.458835
492.59831,177,485.125687
451.481504,169,485.705952
585.760943,200,486.368878
490.81806,166,487.033508
395.116357,153,487.592134
553.917392,189,488.243299
577.003486,202,493.710287
420.040361,148,494.326402
393.698905,145,494.924825
445.295098,158,495.577716
522.379721,179,496.332748
